model_name,threshold,precision,recall,f1
lightgbm,0.1,0.9428571428571428,0.7857142857142857,0.8571428571428571
lightgbm,0.15,0.9428571428571428,0.7857142857142857,0.8571428571428571
lightgbm,0.2,0.9428571428571428,0.7857142857142857,0.8571428571428571
lightgbm,0.25,0.9428571428571428,0.7857142857142857,0.8571428571428571
lightgbm,0.3,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.35,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.4,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.45,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.5,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.55,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.6,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.65,1.0,0.7619047619047619,0.8648648648648649
lightgbm,0.7,1.0,0.7619047619047619,0.8648648648648649
lightgbm,0.75,1.0,0.7380952380952381,0.8493150684931506
lightgbm,0.8,1.0,0.7380952380952381,0.8493150684931506
lightgbm,0.85,1.0,0.7380952380952381,0.8493150684931506
lightgbm,0.9,1.0,0.7380952380952381,0.8493150684931506
xgboost,0.1,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.15,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.2,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.25,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.3,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.35,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.4,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.45,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.5,0.9393939393939394,0.7380952380952381,0.8266666666666667
xgboost,0.55,0.9393939393939394,0.7380952380952381,0.8266666666666667
xgboost,0.6,0.9393939393939394,0.7380952380952381,0.8266666666666667
xgboost,0.65,0.9375,0.7142857142857143,0.8108108108108109
xgboost,0.7,0.9354838709677419,0.6904761904761905,0.7945205479452054
xgboost,0.75,0.9666666666666667,0.6904761904761905,0.8055555555555556
xgboost,0.8,1.0,0.6904761904761905,0.8169014084507042
xgboost,0.85,1.0,0.6904761904761905,0.8169014084507042
xgboost,0.9,1.0,0.6904761904761905,0.8169014084507042
hist_gradient_boosting,0.1,0.96875,0.7380952380952381,0.8378378378378378
