task,model_name,feature,importance,note
regression,catboost,rain_14d_sum,1.6762388274469702,
regression,catboost,avg_temp,1.6643329787739627,
regression,catboost,pH,1.5749484109522742,
regression,catboost,residence_proxy,1.5271409573428307,
regression,catboost,sunshine,1.520349617168873,
regression,catboost,water_temp_diff_1d,1.505009535564845,
regression,catboost,sunshine_7d_sum,1.4922471690498276,
regression,catboost,max_temp,1.3594593809260613,
regression,catboost,inflow_diff_1d,1.2947683490656092,
regression,catboost,water_level_diff_1d,1.2428743324151321,
regression,catboost,level_change_7d,1.0950441797990385,
regression,catboost,rain_lag_2d,0.5510450727329684,
regression,catboost,rain_lag_1d,0.4849948615949221,
classification,lightgbm,sin_season,292.0,
classification,lightgbm,turbidity,246.0,
classification,lightgbm,water_level,228.0,
classification,lightgbm,acc_temp_7d,145.0,
classification,lightgbm,water_temp,92.0,
classification,lightgbm,storage_vol,86.0,
classification,lightgbm,pH,85.0,
classification,lightgbm,transparency,71.0,
classification,lightgbm,water_temp_diff_1d,54.0,
classification,lightgbm,DO,53.0,
classification,lightgbm,outflow_7d_sum,51.0,
classification,lightgbm,sunshine_7d_sum,48.0,
classification,lightgbm,heat_stagnation_index,47.0,
classification,lightgbm,max_temp,43.0,
classification,lightgbm,avg_temp,41.0,
classification,lightgbm,sunshine,40.0,
classification,lightgbm,air_temp_7d_mean,39.0,
classification,lightgbm,residence_proxy,37.0,
classification,lightgbm,outflow,36.0,
classification,lightgbm,rain_7d_sum,36.0,
classification,lightgbm,inflow_diff_1d,33.0,
classification,lightgbm,solar_rad,31.0,
classification,lightgbm,wind_7d_mean,30.0,
classification,lightgbm,level_change_7d,30.0,
classification,lightgbm,cos_season,29.0,
classification,lightgbm,solar_7d_sum,27.0,
classification,lightgbm,rain_14d_sum,23.0,
classification,lightgbm,storage_rate,22.0,
classification,lightgbm,cloud_cover,22.0,
classification,lightgbm,water_level_diff_1d,13.0,
classification,lightgbm,rain_lag_1d,7.0,
classification,lightgbm,rain_lag_2d,3.0,
classification,xgboost,acc_temp_7d,0.3709619343280792,
classification,xgboost,DO,0.10314765572547913,
classification,xgboost,sin_season,0.08997634053230286,
classification,xgboost,outflow,0.05161844938993454,
classification,xgboost,water_level,0.04925531893968582,
classification,xgboost,turbidity,0.03707297518849373,
classification,xgboost,inflow_diff_1d,0.03333485126495361,
classification,xgboost,transparency,0.026950620114803314,
classification,xgboost,storage_vol,0.026926007121801376,
classification,xgboost,pH,0.026300787925720215,
classification,xgboost,max_temp,0.023498600348830223,
classification,xgboost,heat_stagnation_index,0.015274742618203163,
classification,xgboost,residence_proxy,0.014397981576621532,
classification,xgboost,wind_7d_mean,0.0121228052303195,
classification,xgboost,cos_season,0.01194925606250763,
classification,xgboost,outflow_7d_sum,0.009589863009750843,
classification,xgboost,water_level_diff_1d,0.009192585945129395,
classification,xgboost,sunshine,0.00902470014989376,
classification,xgboost,sunshine_7d_sum,0.008949252776801586,
classification,xgboost,air_temp_7d_mean,0.008864475414156914,
classification,xgboost,water_temp_diff_1d,0.008578820154070854,
classification,xgboost,water_temp,0.008356721140444279,
classification,xgboost,solar_rad,0.007261999417096376,
classification,xgboost,rain_7d_sum,0.006564835552126169,
classification,xgboost,rain_lag_2d,0.006488690618425608,
classification,xgboost,level_change_7d,0.006270615849643946,
classification,xgboost,solar_7d_sum,0.006068134214729071,
classification,xgboost,cloud_cover,0.005213869735598564,
classification,xgboost,rain_lag_1d,0.004274176433682442,
classification,xgboost,avg_temp,0.0016250605694949627,
classification,xgboost,rain_14d_sum,0.0008879106608219445,
classification,xgboost,storage_rate,0.0,
classification,hist_gradient_boosting,,,이 모델은 feature_importances_ 속성을 제공하지 않습니다
classification,randomforest,acc_temp_7d,0.18039704277429436,
classification,randomforest,sin_season,0.1611189584881286,
classification,randomforest,turbidity,0.1172355963305431,
classification,randomforest,water_temp,0.09998230719004729,
classification,randomforest,DO,0.04329748928257369,
classification,randomforest,transparency,0.03827655737216138,
classification,randomforest,cos_season,0.03237748988007016,
classification,randomforest,max_temp,0.028898456402701146,
classification,randomforest,water_level,0.027234818264933063,
classification,randomforest,air_temp_7d_mean,0.026534077776978963,
classification,randomforest,storage_rate,0.02551543541078409,
classification,randomforest,storage_vol,0.022161381715107956,
classification,randomforest,avg_temp,0.01996877155816808,
classification,randomforest,solar_rad,0.01828365813854511,
classification,randomforest,pH,0.014893750148182594,
classification,randomforest,water_temp_diff_1d,0.013841979654135026,
classification,randomforest,wind_7d_mean,0.01374779864965085,
classification,randomforest,inflow_diff_1d,0.013569890260961129,
classification,randomforest,solar_7d_sum,0.010132848356273382,
classification,randomforest,heat_stagnation_index,0.0094053685563282,
classification,randomforest,outflow,0.008905991809248974,
classification,randomforest,outflow_7d_sum,0.008653969410755216,
classification,randomforest,rain_7d_sum,0.008567502734269821,
classification,randomforest,rain_14d_sum,0.007757774112481014,
classification,randomforest,sunshine,0.007436198432858935,
classification,randomforest,level_change_7d,0.007391488294578836,
classification,randomforest,water_level_diff_1d,0.007146819910831227,
classification,randomforest,cloud_cover,0.006760474966692495,
classification,randomforest,residence_proxy,0.00666109766640163,
classification,randomforest,sunshine_7d_sum,0.006623960380099662,
classification,randomforest,rain_lag_1d,0.0036859134056289487,
classification,randomforest,rain_lag_2d,0.003535132665585042,
classification,catboost,acc_temp_7d,16.71589252160361,
classification,catboost,sin_season,16.307678013573934,
classification,catboost,turbidity,12.385001787974318,
classification,catboost,water_level,5.199903868022908,
classification,catboost,storage_vol,4.6031171216204685,
classification,catboost,storage_rate,4.089414197310565,
classification,catboost,pH,3.023511067712432,
classification,catboost,water_temp,2.537451504915288,
classification,catboost,transparency,2.4706986149997983,
classification,catboost,DO,2.1338068284321525,
classification,catboost,inflow_diff_1d,2.102378891517683,
classification,catboost,heat_stagnation_index,1.8256098613330314,
classification,catboost,sunshine_7d_sum,1.768928027446815,
classification,catboost,avg_temp,1.6791408330004962,
classification,catboost,water_temp_diff_1d,1.6724280139492211,
classification,catboost,residence_proxy,1.5885221514093784,
classification,catboost,solar_7d_sum,1.5648785218353554,
classification,catboost,max_temp,1.5425318719303571,
classification,catboost,cos_season,1.5409149630138461,
classification,catboost,outflow_7d_sum,1.4939700360858286,
classification,catboost,wind_7d_mean,1.4675212329261673,
classification,catboost,outflow,1.4551277820518398,
classification,catboost,cloud_cover,1.369878484006075,
classification,catboost,rain_14d_sum,1.326875111195926,
classification,catboost,air_temp_7d_mean,1.2752467912830037,
classification,catboost,solar_rad,1.2336002301307056,
classification,catboost,rain_7d_sum,1.1473025196876916,
classification,catboost,sunshine,1.1370849231705624,
classification,catboost,water_level_diff_1d,1.0100303929026837,
classification,catboost,level_change_7d,0.9254499010093852,
classification,catboost,rain_lag_2d,0.7268242048903919,
classification,catboost,rain_lag_1d,0.6792797290580843,
