model_name,threshold,precision,recall,f1
lightgbm,0.05,0.9166666666666666,0.7857142857142857,0.8461538461538461
lightgbm,0.1,0.9705882352941176,0.7857142857142857,0.868421052631579
lightgbm,0.15,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.2,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.25,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.3,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.35,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.4,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.45,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.5,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.55,0.9696969696969697,0.7619047619047619,0.8533333333333334
lightgbm,0.6,0.96875,0.7380952380952381,0.8378378378378378
lightgbm,0.65,0.96875,0.7380952380952381,0.8378378378378378
lightgbm,0.7,0.96875,0.7380952380952381,0.8378378378378378
lightgbm,0.75,0.96875,0.7380952380952381,0.8378378378378378
lightgbm,0.8,1.0,0.7142857142857143,0.8333333333333334
xgboost,0.05,0.9444444444444444,0.8095238095238095,0.8717948717948718
xgboost,0.1,0.9428571428571428,0.7857142857142857,0.8571428571428571
xgboost,0.15,0.9428571428571428,0.7857142857142857,0.8571428571428571
xgboost,0.2,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.25,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.3,0.9411764705882353,0.7619047619047619,0.8421052631578947
xgboost,0.35,0.9393939393939394,0.7380952380952381,0.8266666666666667
xgboost,0.4,0.96875,0.7380952380952381,0.8378378378378378
xgboost,0.45,0.96875,0.7380952380952381,0.8378378378378378
xgboost,0.5,0.96875,0.7380952380952381,0.8378378378378378
xgboost,0.55,0.967741935483871,0.7142857142857143,0.821917808219178
xgboost,0.6,0.967741935483871,0.7142857142857143,0.821917808219178
xgboost,0.65,0.967741935483871,0.7142857142857143,0.821917808219178
xgboost,0.7,0.967741935483871,0.7142857142857143,0.821917808219178
xgboost,0.75,0.967741935483871,0.7142857142857143,0.821917808219178
xgboost,0.8,0.967741935483871,0.7142857142857143,0.821917808219178
hist_gradient_boosting,0.05,0.9696969696969697,0.7619047619047619,0.8533333333333334
hist_gradient_boosting,0.1,0.96875,0.7380952380952381,0.8378378378378378
hist_gradient_boosting,0.15,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.2,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.25,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.3,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.35,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.4,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.45,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.5,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.55,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.6,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.65,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.7,1.0,0.7380952380952381,0.8493150684931506
hist_gradient_boosting,0.75,1.0,0.7142857142857143,0.8333333333333334
hist_gradient_boosting,0.8,1.0,0.7142857142857143,0.8333333333333334
randomforest,0.05,0.8125,0.9285714285714286,0.8666666666666667
randomforest,0.1,0.8604651162790697,0.8809523809523809,0.8705882352941177
randomforest,0.15,0.9024390243902439,0.8809523809523809,0.891566265060241
randomforest,0.2,0.925,0.8809523809523809,0.9024390243902439
randomforest,0.25,0.9473684210526315,0.8571428571428571,0.9
randomforest,0.3,0.9444444444444444,0.8095238095238095,0.8717948717948718
randomforest,0.35,0.9714285714285714,0.8095238095238095,0.8831168831168831
randomforest,0.4,0.9696969696969697,0.7619047619047619,0.8533333333333334
randomforest,0.45,1.0,0.7380952380952381,0.8493150684931506
randomforest,0.5,1.0,0.7380952380952381,0.8493150684931506
randomforest,0.55,1.0,0.7142857142857143,0.8333333333333334
randomforest,0.6,1.0,0.7142857142857143,0.8333333333333334
randomforest,0.65,1.0,0.6190476190476191,0.7647058823529411
randomforest,0.7,1.0,0.5952380952380952,0.746268656716418
randomforest,0.75,1.0,0.5238095238095238,0.6875
randomforest,0.8,1.0,0.38095238095238093,0.5517241379310345
catboost,0.05,0.8444444444444444,0.9047619047619048,0.8735632183908046
catboost,0.1,0.8636363636363636,0.9047619047619048,0.8837209302325582
catboost,0.15,0.8809523809523809,0.8809523809523809,0.8809523809523809
catboost,0.2,0.9024390243902439,0.8809523809523809,0.891566265060241
catboost,0.25,0.9024390243902439,0.8809523809523809,0.891566265060241
catboost,0.3,0.9024390243902439,0.8809523809523809,0.891566265060241
catboost,0.35,0.9024390243902439,0.8809523809523809,0.891566265060241
catboost,0.4,0.9024390243902439,0.8809523809523809,0.891566265060241
catboost,0.45,0.8918918918918919,0.7857142857142857,0.8354430379746836
catboost,0.5,0.9166666666666666,0.7857142857142857,0.8461538461538461
catboost,0.55,0.9166666666666666,0.7857142857142857,0.8461538461538461
catboost,0.6,0.9705882352941176,0.7857142857142857,0.868421052631579
catboost,0.65,0.9696969696969697,0.7619047619047619,0.8533333333333334
catboost,0.7,0.9696969696969697,0.7619047619047619,0.8533333333333334
catboost,0.75,1.0,0.7619047619047619,0.8648648648648649
catboost,0.8,1.0,0.7380952380952381,0.8493150684931506
