date,station,predicted_cells,alert_probability,predicted_alert_label,shap_top_1,shap_top_1_value,shap_top_2,shap_top_2_value,shap_top_3,shap_top_3_value
2024-03-04,회남(옥천),4.540153743252437,0.0,0,water_temp,-0.05746448458339728,sin_season,-0.042937778300838544,turbidity,-0.04059853226561245
2024-03-11,회남(옥천),3.413824221053324,0.0,0,water_temp,-0.05141726251145883,sin_season,-0.041732587170699845,turbidity,-0.0409205236719572
2024-03-18,회남(옥천),0.3638931852923184,0.0,0,water_temp,-0.0502444917140383,turbidity,-0.04382648318032807,sin_season,-0.039451800817987534
2024-03-25,회남(옥천),1.1578367966056495,0.0,0,water_temp,-0.054467211703777135,turbidity,-0.049099076722213794,sin_season,-0.046541894377296555
2024-04-01,회남(옥천),0.5280833764051931,0.0,0,water_temp,-0.06982254653876226,sin_season,-0.05855191194466897,turbidity,-0.04982790398276848
2024-04-08,회남(옥천),0.5693383407030279,0.0,0,water_temp,-0.06951396825839766,sin_season,-0.06054206345312196,acc_temp_7d,-0.055526627060371536
2024-04-15,회남(옥천),0.41656341463318336,0.02,0,water_temp,-0.07711551593572949,sin_season,-0.06253928588688723,turbidity,-0.06048503965110285
2024-04-22,회남(옥천),0.3562803913049415,0.0,0,water_temp,-0.07496801586457877,sin_season,-0.06823194441210945,acc_temp_7d,-0.06344861084231525
2024-04-29,회남(옥천),0.8509888080419543,0.03,0,water_temp,-0.0726913490908919,turbidity,-0.06261269819631707,sin_season,-0.060168452434736536
2024-05-07,회남(옥천),0.4628330636911584,0.01,0,water_temp,-0.08458115081688447,sin_season,-0.07538138858695674,turbidity,-0.056484761794272344
2024-05-13,회남(옥천),1.2850831810647176,0.01,0,water_temp,-0.0793303169599676,sin_season,-0.07294908702751854,turbidity,-0.05604543623019708
2024-05-20,회남(옥천),5.467697885002015,0.0,0,water_temp,-0.07916055533729377,sin_season,-0.06483928544766968,turbidity,-0.06015047579432576
