iter	Passed	Remaining
339	1049	2037
340	1052	2033
341	1054	2029
342	1057	2025
343	1060	2022
344	1063	2019
345	1066	2015
346	1069	2012
347	1071	2008
348	1074	2005
349	1078	2002
350	1081	1999
351	1084	1996
352	1087	1993
353	1090	1990
354	1094	1988
355	1097	1985
356	1100	1982
357	1104	1981
358	1108	1978
359	1111	1976
360	1115	1974
361	1119	1972
362	1122	1969
363	1125	1966
364	1128	1963
365	1132	1961
366	1135	1958
367	1138	1955
368	1142	1952
369	1146	1951
370	1149	1949
371	1153	1946
372	1156	1944
373	1160	1941
374	1163	1939
375	1166	1935
376	1169	1932
377	1172	1929
378	1176	1927
379	1179	1925
380	1183	1922
381	1186	1919
382	1189	1916
383	1192	1913
384	1195	1909
385	1198	1906
386	1201	1903
387	1205	1900
388	1208	1898
389	1212	1895
390	1215	1892
391	1218	1889
392	1221	1886
393	1224	1883
394	1227	1879
395	1229	1875
396	1232	1872
397	1235	1868
398	1238	1866
399	1242	1863
400	1244	1859
401	1247	1855
402	1250	1852
403	1253	1848
404	1256	1845
405	1259	1842
406	1262	1838
407	1264	1834
408	1268	1832
409	1271	1830
410	1274	1826
411	1277	1823
412	1280	1819
413	1282	1815
414	1285	1812
415	1288	1809
416	1291	1805
417	1294	1802
418	1296	1798
419	1299	1794
420	1302	1791
421	1305	1788
422	1308	1785
423	1311	1781
424	1314	1777
425	1317	1774
426	1321	1772
427	1324	1770
428	1327	1767
429	1331	1764
430	1334	1761
431	1338	1759
432	1341	1756
433	1343	1752
434	1346	1749
435	1349	1745
436	1352	1742
437	1355	1739
438	1359	1736
439	1362	1734
440	1365	1731
441	1369	1728
442	1372	1726
443	1375	1722
444	1379	1720
445	1382	1717
446	1386	1714
447	1389	1711
448	1392	1708
449	1395	1705
450	1398	1702
451	1402	1700
452	1406	1698
453	1409	1694
454	1412	1691
455	1416	1689
456	1419	1686
457	1421	1682
458	1424	1679
459	1427	1675
460	1430	1672
461	1433	1669
462	1437	1667
463	1440	1664
464	1443	1661
465	1447	1658
466	1450	1655
467	1454	1653
468	1457	1650
469	1461	1647
470	1465	1645
471	1468	1642
472	1471	1639
473	1474	1636
474	1477	1632
475	1480	1629
476	1483	1626
477	1486	1622
478	1488	1619
479	1491	1615
480	1494	1612
481	1498	1610
482	1501	1607
483	1505	1604
484	1508	1601
485	1511	1599
486	1515	1595
487	1518	1593
488	1521	1590
489	1525	1587
490	1528	1585
491	1532	1581
492	1534	1578
493	1537	1574
494	1540	1571
495	1542	1567
496	1546	1564
497	1549	1562
498	1553	1559
499	1557	1557
500	1560	1554
501	1564	1552
502	1568	1550
503	1572	1547
504	1575	1544
505	1578	1541
506	1581	1537
507	1584	1534
508	1587	1530
509	1590	1527
510	1593	1524
511	1596	1521
512	1599	1518
513	1603	1515
514	1606	1512
515	1609	1509
516	1612	1506
517	1616	1504
518	1619	1501
519	1622	1498
520	1626	1495
521	1630	1492
522	1633	1489
523	1634	1485
524	1637	1481
525	1640	1478
526	1644	1475
527	1647	1472
528	1650	1469
529	1652	1465
530	1655	1462
531	1658	1459
532	1661	1455
533	1664	1452
534	1667	1449
535	1670	1445
536	1673	1442
537	1676	1439
538	1679	1436
539	1682	1433
540	1686	1430
541	1690	1428
542	1693	1425
543	1696	1422
544	1699	1418
545	1702	1415
546	1705	1412
547	1709	1409
548	1712	1406
549	1715	1403
550	1718	1400
551	1722	1397
552	1725	1394
553	1728	1391
554	1731	1388
555	1734	1385
556	1737	1381
557	1740	1378
558	1743	1375
559	1746	1371
560	1748	1368
561	1751	1365
562	1755	1362
563	1758	1359
564	1761	1356
565	1765	1353
566	1768	1350
567	1771	1347
568	1774	1344
569	1777	1340
570	1780	1337
571	1783	1334
572	1787	1331
573	1790	1329
574	1793	1325
575	1796	1322
576	1799	1319
577	1802	1316
578	1806	1313
579	1810	1310
580	1813	1307
581	1817	1305
582	1820	1302
583	1824	1299
584	1827	1296
585	1830	1292
586	1832	1289
587	1836	1286
588	1839	1283
589	1842	1280
590	1845	1277
591	1849	1274
592	1852	1271
593	1855	1267
594	1857	1264
595	1860	1261
596	1863	1257
597	1866	1254
598	1869	1251
599	1872	1248
600	1874	1244
601	1877	1241
602	1880	1238
603	1884	1235
604	1887	1232
605	1889	1228
606	1892	1225
607	1895	1222
608	1898	1218
609	1901	1215
610	1904	1212
611	1907	1209
612	1910	1206
613	1913	1203
614	1917	1200
615	1920	1197
616	1923	1194
617	1927	1191
618	1930	1188
619	1933	1185
620	1936	1181
621	1939	1178
622	1942	1175
623	1944	1171
624	1948	1168
625	1951	1165
626	1953	1162
627	1956	1159
628	1960	1156
629	1963	1153
630	1967	1150
631	1970	1147
632	1974	1144
633	1978	1142
634	1982	1139
635	1986	1136
636	1990	1134
637	1993	1131
638	1996	1128
639	2000	1125
640	2003	1122
641	2007	1119
642	2011	1116
643	2014	1113
644	2018	1110
645	2021	1107
646	2024	1104
647	2028	1102
648	2031	1098
649	2035	1096
650	2038	1092
651	2042	1089
652	2046	1087
653	2049	1084
654	2052	1081
655	2056	1078
656	2059	1075
657	2063	1072
658	2066	1069
659	2069	1066
660	2073	1063
661	2077	1060
662	2080	1057
663	2083	1054
664	2086	1051
665	2089	1048
666	2093	1045
667	2096	1041
668	2098	1038
669	2101	1035
670	2104	1031
671	2107	1028
672	2110	1025
673	2113	1022
674	2117	1019
675	2120	1016
676	2124	1013
677	2127	1010
678	2131	1007
679	2135	1004
680	2138	1001
681	2142	998
682	2145	995
683	2148	992
684	2152	989
685	2156	986
686	2159	983
687	2162	980
688	2165	977
689	2169	974
690	2172	971
691	2176	968
692	2179	965
693	2182	962
694	2185	959
695	2188	956
696	2191	952
697	2194	949
698	2197	946
699	2199	942
700	2202	939
701	2206	936
702	2209	933
703	2211	929
704	2214	926
705	2217	923
706	2221	920
707	2224	917
708	2228	914
709	2231	911
710	2235	908
711	2239	905
712	2242	902
713	2245	899
714	2249	896
715	2252	893
716	2256	890
717	2259	887
718	2261	883
719	2264	880
720	2268	877
721	2271	874
722	2274	871
723	2278	868
724	2281	865
725	2285	862
726	2288	859
727	2291	856
728	2294	852
729	2296	849
730	2300	846
731	2303	843
732	2306	840
733	2309	836
734	2312	833
735	2315	830
736	2318	827
737	2321	824
738	2324	821
739	2327	817
740	2331	814
741	2334	811
742	2337	808
743	2341	805
744	2344	802
745	2347	799
746	2351	796
747	2354	793
748	2357	790
749	2360	786
750	2364	784
751	2368	781
752	2371	777
753	2375	774
754	2378	771
755	2382	768
756	2385	765
757	2388	762
758	2391	759
759	2394	756
760	2397	753
761	2401	749
762	2404	746
763	2407	743
764	2411	740
765	2414	737
766	2417	734
767	2420	731
768	2423	728
769	2426	724
770	2430	721
771	2433	718
772	2436	715
773	2440	712
774	2443	709
775	2446	706
776	2449	702
777	2451	699
778	2454	696
779	2457	693
780	2460	690
781	2464	686
782	2467	683
783	2470	680
784	2474	677
785	2477	674
786	2481	671
787	2484	668
788	2487	665
789	2491	662
790	2494	659
791	2498	656
792	2501	652
793	2504	649
794	2507	646
795	2510	643
796	2513	640
797	2515	636
798	2518	633
799	2521	630
800	2524	627
801	2527	624
802	2530	620
803	2533	617
804	2536	614
805	2540	611
806	2544	608
807	2548	605
808	2552	602
809	2555	599
810	2560	596
811	2563	593
812	2566	590
813	2569	587
814	2572	584
815	2575	580
816	2579	577
817	2582	574
818	2585	571
819	2588	568
820	2590	564
821	2593	561
822	2596	558
823	2599	555
824	2601	551
825	2604	548
826	2606	545
827	2610	542
828	2613	539
829	2617	536
830	2620	532
831	2623	529
832	2627	526
833	2630	523
834	2634	520
835	2638	517
836	2641	514
837	2644	511
838	2648	508
839	2652	505
840	2655	502
841	2659	499
842	2663	495
843	2666	492
844	2669	489
845	2673	486
846	2676	483
847	2680	480
848	2684	477
849	2687	474
850	2691	471
851	2694	468
852	2698	464
853	2701	461
854	2704	458
855	2707	455
856	2711	452
857	2715	449
858	2718	446
859	2722	443
860	2725	439
861	2728	436
862	2731	433
863	2735	430
864	2739	427
865	2742	424
866	2746	421
867	2749	418
868	2753	415
869	2756	411
870	2760	408
871	2763	405
872	2767	402
873	2770	399
874	2774	396
875	2777	393
876	2781	390
877	2784	386
878	2788	383
879	2791	380
880	2794	377
881	2797	374
882	2800	371
883	2803	367
884	2807	364
885	2811	361
886	2814	358
887	2818	355
888	2821	352
889	2825	349
890	2828	346
891	2832	342
892	2836	339
893	2839	336
894	2843	333
895	2846	330
896	2849	327
897	2852	323
898	2855	320
899	2859	317
900	2862	314
901	2866	311
902	2869	308
903	2873	305
904	2876	301
905	2879	298
906	2882	295
907	2885	292
908	2889	289
909	2892	286
910	2895	282
911	2898	279
912	2902	276
913	2905	273
914	2909	270
915	2913	267
916	2917	264
917	2920	260
918	2924	257
919	2927	254
920	2930	251
921	2934	248
922	2938	245
923	2942	241
924	2945	238
925	2948	235
926	2951	232
927	2955	229
928	2958	226
929	2962	222
930	2965	219
931	2968	216
932	2972	213
933	2975	210
934	2979	207
935	2983	204
936	2987	200
937	2990	197
938	2993	194
939	2997	191
940	3000	188
941	3004	184
942	3007	181
943	3010	178
944	3013	175
945	3014	172
946	3017	168
947	3020	165
948	3023	162
949	3026	159
950	3030	156
951	3033	152
952	3037	149
953	3040	146
954	3043	143
955	3047	140
956	3051	137
957	3054	133
958	3057	130
959	3060	127
960	3064	124
961	3067	121
962	3071	117
963	3074	114
964	3077	111
965	3081	108
966	3085	105
967	3088	102
968	3091	98
969	3095	95
970	3099	92
971	3102	89
972	3105	86
973	3109	83
974	3113	79
975	3116	76
976	3120	73
977	3123	70
978	3125	67
979	3129	63
980	3132	60
981	3136	57
982	3139	54
983	3143	51
984	3147	47
985	3150	44
986	3154	41
987	3157	38
988	3161	35
989	3165	31
990	3168	28
991	3171	25
992	3175	22
993	3179	19
994	3182	15
995	3186	12
996	3189	9
997	3194	6
998	3197	3
999	3201	0
