iter	Logloss
0	0.6851481314
1	0.6755610772
2	0.6659514837
3	0.6560823438
4	0.6472170523
5	0.6384911281
6	0.6304440454
7	0.6208378488
8	0.6129200803
9	0.6047785713
10	0.5960522798
11	0.5880854389
12	0.5815751146
13	0.5734859371
14	0.5677970809
15	0.561743648
16	0.5535014236
17	0.5475954372
18	0.5402535456
19	0.5332729715
20	0.5279349204
21	0.5214051324
22	0.5151253883
23	0.5091429243
24	0.5036285526
25	0.4972794003
26	0.4917212353
27	0.4864009954
28	0.4809346402
29	0.4753961684
30	0.4698292815
31	0.4638926766
32	0.4582680413
33	0.4527747399
34	0.4481608845
35	0.4431985192
36	0.4386985539
37	0.4345187753
38	0.429741269
39	0.4254369045
40	0.4206212512
41	0.4167537636
42	0.4109947187
43	0.4060944627
44	0.4016751523
45	0.3973532521
46	0.3930299289
47	0.3884062958
48	0.3832920312
49	0.3796442444
50	0.3770662024
51	0.3731931373
52	0.3693190624
53	0.3664066032
54	0.3625594973
55	0.3594553623
56	0.3563319012
57	0.3529311746
58	0.3497077786
59	0.3464045081
60	0.3432592193
61	0.3401825583
62	0.3367278016
63	0.3337201357
64	0.3306690437
65	0.327790623
66	0.3249898045
67	0.3218460306
68	0.3190828082
69	0.3163387282
70	0.313799407
71	0.3111486516
72	0.3089856817
73	0.3065022497
74	0.3032108915
75	0.3006531165
76	0.2982301183
77	0.2961762414
78	0.2936924651
79	0.2905569999
80	0.2886494678
81	0.2867195341
82	0.2841702056
83	0.2820048257
84	0.2799324262
85	0.2781444074
86	0.2765483401
87	0.274649966
88	0.273051787
89	0.2712950065
90	0.2691652029
91	0.2666292787
92	0.2646980367
93	0.2631708037
94	0.2612742887
95	0.2594100909
96	0.2573271332
97	0.2554071838
98	0.254108144
99	0.2519451741
100	0.2497474313
101	0.2480719714
102	0.2469207454
103	0.2451251524
104	0.2431564061
105	0.2414183319
106	0.2399922274
107	0.238567018
108	0.2368968831
109	0.2354778939
110	0.2334981533
111	0.2317017111
112	0.2301010991
113	0.2288045153
114	0.2273635146
115	0.2258700218
116	0.2240745664
117	0.2228195265
118	0.2217006865
119	0.2200508415
120	0.2185723136
121	0.2172118761
122	0.2156715372
123	0.2141877073
124	0.2129566068
125	0.2119344195
126	0.210802772
127	0.2097397523
128	0.2086393201
129	0.2076318682
130	0.2059502571
131	0.2044236438
132	0.2032575906
133	0.2021463937
134	0.2008832515
135	0.1993925589
136	0.1982073862
137	0.1973813276
138	0.1962286556
139	0.1953525836
140	0.1941158827
141	0.1929021802
142	0.1913473468
143	0.1905156304
144	0.1895108067
145	0.1882259171
146	0.1869692246
147	0.1863771662
148	0.1851873572
149	0.1843781456
150	0.1832972574
151	0.1824292303
152	0.1815514253
153	0.1802403241
154	0.1794074715
155	0.1785023876
156	0.1772816157
157	0.1763516858
158	0.1751619226
159	0.1743349689
160	0.1736604308
161	0.1728703616
162	0.1720566399
163	0.1711265952
164	0.1703607409
165	0.1693530825
166	0.1681759432
167	0.1670279535
168	0.1660799485
169	0.1653135892
170	0.1646710125
171	0.1639956596
172	0.1629909965
173	0.1622493684
174	0.1613588823
175	0.1608064627
176	0.1601275752
177	0.1592432633
178	0.1583379728
179	0.1577914406
180	0.1570434776
181	0.1563118913
182	0.1553589515
183	0.1548497744
184	0.1542138997
185	0.1535624174
186	0.1529871143
187	0.152412844
188	0.1518770765
189	0.1511414046
190	0.1502543154
191	0.1496810206
192	0.1490785533
193	0.1484887327
194	0.1479084834
195	0.1473004386
196	0.1465504329
197	0.1459966706
198	0.1452495225
199	0.1447199177
200	0.1441809024
201	0.1436553143
202	0.143045812
203	0.1426860553
204	0.1417191375
205	0.1413657386
206	0.1407894486
207	0.1401968393
208	0.1396542663
209	0.1389700998
210	0.1383816334
211	0.1377906193
212	0.137063371
213	0.1364617873
214	0.1357556782
215	0.1352301818
216	0.1347849273
217	0.134307677
218	0.1339845984
219	0.1332588878
220	0.1327276305
221	0.1321015336
222	0.1315013041
223	0.1311305532
224	0.1306575147
225	0.1301166402
226	0.1296802109
227	0.128917019
228	0.1282127346
229	0.1278568798
230	0.1272503614
231	0.126840006
232	0.1263070846
233	0.1260562258
234	0.1256129566
235	0.1250729314
236	0.1244320531
237	0.1239379099
238	0.1233958534
239	0.1229816764
240	0.1222755214
241	0.1218409282
242	0.1214470298
243	0.1212333884
244	0.120969527
245	0.1205082517
246	0.1201563677
247	0.1198195176
248	0.1194368084
249	0.1190013087
250	0.118676761
251	0.1183522593
252	0.1178312846
253	0.1173317016
254	0.1170302442
255	0.1163881953
256	0.1161547001
257	0.115915547
258	0.1151216792
259	0.1148885282
260	0.1144234772
261	0.1140804758
262	0.1137194338
263	0.1135501709
264	0.1134139711
265	0.113203807
266	0.1130359672
267	0.1126987039
268	0.1121483501
269	0.1116562955
270	0.1114375128
271	0.1113471719
272	0.1108928053
273	0.1105544862
274	0.110123531
275	0.1095370959
276	0.1091545704
277	0.1089768037
278	0.1085012175
279	0.1081788159
280	0.1079631777
281	0.1077970364
282	0.1077116647
283	0.1072326701
284	0.1070182368
285	0.1066753617
286	0.106496826
287	0.106050114
288	0.1059170472
289	0.1055883337
290	0.105433221
291	0.1053354895
292	0.1050183441
293	0.1045387182
294	0.1043176747
295	0.1040088609
296	0.1038165424
297	0.1034216455
298	0.1031114546
299	0.1030308571
300	0.1028160681
301	0.1027701861
302	0.1026052269
303	0.1023040448
304	0.1019988806
305	0.1018065276
306	0.1014847687
307	0.1014558715
308	0.1010795547
309	0.1008820833
310	0.1007017573
311	0.1004480525
312	0.1003148938
313	0.1001700868
314	0.09973609045
315	0.0993708137
316	0.09924607862
317	0.09920270997
318	0.09896009111
319	0.09864737547
320	0.09834253252
321	0.09796736327
322	0.09792275519
323	0.09762112558
324	0.09730117992
325	0.09727803238
326	0.09692045618
327	0.09661835605
328	0.09622800949
329	0.0960567211
330	0.09580598281
331	0.09543158821
332	0.09520329167
333	0.09510901449
334	0.09490901259
335	0.09482312453
336	0.09480671353
337	0.09472569712
338	0.09444721506
339	0.09411377336
340	0.09367357408
341	0.0933696435
342	0.09317769217
343	0.09291580473
344	0.09276515633
345	0.09274044228
346	0.09271172303
347	0.09259806824
348	0.09233674313
349	0.09213804378
350	0.09186288409
351	0.09163896574
352	0.09146483125
353	0.09109736254
354	0.09082688515
355	0.0905079494
356	0.09039452413
357	0.09037893942
358	0.09034047685
359	0.09004348364
360	0.08996353453
361	0.08988469287
362	0.08966306402
363	0.08927151246
364	0.08898746443
365	0.08874929261
366	0.08865751724
367	0.08861082048
368	0.08850476295
369	0.08848085798
370	0.08814154045
371	0.08788705518
372	0.08748718909
373	0.08746248652
374	0.0874247986
375	0.08737908306
376	0.08715510732
377	0.0869295077
378	0.0867202904
379	0.08637099429
380	0.08618936009
381	0.08594941519
382	0.08566544749
383	0.08561178467
384	0.08524362739
385	0.08494168793
386	0.08485932306
387	0.0847421336
388	0.0847223199
389	0.08450780631
390	0.08439323343
391	0.08426026989
392	0.08419884914
393	0.08406994818
394	0.08391927683
395	0.08389776465
396	0.08382696782
397	0.08379812807
398	0.08359613505
399	0.08355010391
400	0.08326401885
401	0.08308563816
402	0.08295822338
403	0.0828760077
404	0.08254371937
405	0.08241679806
406	0.08230911091
407	0.08211075011
408	0.08206625679
409	0.08189048694
410	0.08185018817
411	0.08169699205
412	0.08166511684
413	0.08142906812
414	0.08131794384
415	0.08114617345
416	0.0810954428
417	0.08100641025
418	0.08088297198
419	0.08071378948
420	0.08056775453
421	0.08034202293
422	0.08015117906
423	0.07993586214
424	0.07991576153
425	0.07988865469
426	0.07970328497
427	0.07955932148
428	0.0793409404
429	0.07921805299
430	0.07920719648
431	0.07902945272
432	0.07891602746
433	0.07863231798
434	0.07846183866
435	0.07833568627
436	0.07830740885
437	0.07819578535
438	0.07807243315
439	0.07805029552
440	0.07773057938
441	0.07765171477
442	0.07746237428
443	0.07744614116
444	0.0774162915
445	0.07725401195
446	0.07723600002
447	0.07697648815
448	0.07679503757
449	0.07650000679
450	0.07644800802
451	0.07630292559
452	0.07618727968
453	0.07594925131
454	0.07587885041
455	0.07564053514
456	0.07554748017
457	0.07537207756
458	0.0753489128
459	0.0753298221
460	0.07529827396
461	0.07514425155
462	0.07505458781
463	0.07484687962
464	0.07460383614
465	0.07456443827
466	0.07434756058
467	0.07432486061
468	0.07416786586
469	0.07400208032
470	0.07388561959
471	0.073820383
472	0.07360986887
473	0.07344059456
474	0.07335192925
475	0.07333186881
476	0.07311527803
477	0.07299156433
478	0.07287974
479	0.07279418475
480	0.07266415913
481	0.07252677724
482	0.07235742834
483	0.07227632012
484	0.07226318559
485	0.07222739698
486	0.07205314199
487	0.07190030737
488	0.07173465955
489	0.07151153305
490	0.07142781974
491	0.07126547133
492	0.07108674635
493	0.07104419251
494	0.07079965712
495	0.07078036558
496	0.07074385398
497	0.07070675708
498	0.07048636767
499	0.07045209392
500	0.07042490101
501	0.07026132465
502	0.07002067396
503	0.0699602918
504	0.06993490066
505	0.06987445538
506	0.06967003514
507	0.06947709685
508	0.06925610494
509	0.06923273935
510	0.06909581077
511	0.06907443057
512	0.06904828773
513	0.06895052177
514	0.06893086874
515	0.06881343254
516	0.06875356681
517	0.06873075208
518	0.06852803031
519	0.06844411616
520	0.06831763095
521	0.06820722393
522	0.06808066987
523	0.06806120619
