workflow,task,model_name,rank_in_workflow_task,is_best_in_workflow_task,selection_metric,selection_value,mae,rmse,r2,mae_cells,rmse_cells,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,source_file
non_tree,classification,logistic_regression,1,True,recall_max,0.9598540145985401,,,,,,0.5,0.9543918918918919,0.942652329749104,0.9598540145985401,0.9511754068716094,0.9924195473534407,0.9910599978666252,604.0,32.0,22.0,526.0,artifacts/non_tree_scaled/metrics/classification_metrics.json
non_tree,classification,sgd_classifier,2,False,recall_max,0.927007299270073,,,,,,0.5,0.9341216216216216,0.9304029304029304,0.927007299270073,0.9287020109689214,0.94333740761144,0.9068149676377862,598.0,38.0,40.0,508.0,artifacts/non_tree_scaled/metrics/classification_metrics.json
non_tree,classification,calibrated_logistic_regression,3,False,recall_max,0.8905109489051095,,,,,,0.5,0.9315878378378378,0.9587426326129665,0.8905109489051095,0.923368022705771,0.9909648579167241,0.9892455350102528,615.0,21.0,60.0,488.0,artifacts/non_tree_scaled/metrics/classification_metrics.json
non_tree,classification,knn_classifier,4,False,recall_max,0.5894160583941606,,,,,,0.5,0.7964527027027027,0.9528023598820059,0.5894160583941606,0.7282976324689966,0.9221554652710829,0.9140140209474157,620.0,16.0,225.0,323.0,artifacts/non_tree_scaled/metrics/classification_metrics.json
non_tree,classification,svc_rbf,5,False,recall_max,0.5182481751824818,,,,,,0.5,0.745777027027027,0.8847352024922118,0.5182481751824818,0.6536248561565017,0.9257678005784327,0.8299606789439922,599.0,37.0,264.0,284.0,artifacts/non_tree_scaled/metrics/classification_metrics.json
non_tree,regression,elasticnet,1,True,rmse_min,0.677298655305645,0.49318901467027,0.677298655305645,0.8364373194070273,4764.268922871774,13977.196377411072,,,,,,,,,,,,artifacts/non_tree_scaled/metrics/regression_metrics.json
non_tree,regression,ridge,2,False,rmse_min,0.6786094902568265,0.49667893327319873,0.6786094902568265,0.835803592604869,4974.023941378594,14442.498691506746,,,,,,,,,,,,artifacts/non_tree_scaled/metrics/regression_metrics.json
non_tree,regression,huber_regressor,3,False,rmse_min,0.715321790490186,0.44461223506152886,0.715321790490186,0.8175572110116047,4204.4729117697725,13200.80535763975,,,,,,,,,,,,artifacts/non_tree_scaled/metrics/regression_metrics.json
non_tree,regression,svr_rbf,4,False,rmse_min,1.117225231060368,1.0193488369060428,1.117225231060368,0.554953630108209,7626.475444544087,17347.557548522193,,,,,,,,,,,,artifacts/non_tree_scaled/metrics/regression_metrics.json
non_tree,regression,knn_regressor,5,False,rmse_min,1.178957156565751,0.9188418679562521,1.178957156565751,0.5044130761633696,7252.716307624816,16978.276120900337,,,,,,,,,,,,artifacts/non_tree_scaled/metrics/regression_metrics.json
tree,classification,random_forest,1,True,recall_max,0.9197080291970803,,,,,,0.5,0.9493243243243243,0.9692307692307692,0.9197080291970803,0.9438202247191011,0.9940836891153652,0.993148135520682,620.0,16.0,44.0,504.0,artifacts/tree_gradient_boosting/metrics/classification_metrics.json
tree,classification,catboost,2,False,recall_max,0.9124087591240876,,,,,,0.5,0.9391891891891891,0.9541984732824428,0.9124087591240876,0.9328358208955224,0.9918858743056512,0.9903822063881853,612.0,24.0,48.0,500.0,artifacts/tree_gradient_boosting/metrics/classification_metrics.json
tree,classification,xgboost,3,False,recall_max,0.8959854014598541,,,,,,0.5,0.9425675675675675,0.9780876494023905,0.8959854014598541,0.9352380952380952,0.9940750814855621,0.9933352339931462,625.0,11.0,57.0,491.0,artifacts/tree_gradient_boosting/metrics/classification_metrics.json
tree,classification,hist_gradient_boosting,4,False,recall_max,0.8759124087591241,,,,,,0.5,0.9324324324324325,0.975609756097561,0.8759124087591241,0.9230769230769231,0.9922846944865262,0.9910183362563355,624.0,12.0,68.0,480.0,artifacts/tree_gradient_boosting/metrics/classification_metrics.json
tree,classification,lightgbm,5,False,recall_max,0.8722627737226277,,,,,,0.5,0.9307432432432432,0.9755102040816327,0.8722627737226277,0.9210019267822736,0.9938168525914705,0.992921203429022,624.0,12.0,70.0,478.0,artifacts/tree_gradient_boosting/metrics/classification_metrics.json
tree,regression,catboost,1,True,rmse_min,0.7199579736310133,0.5470593685654207,0.7199579736310133,0.8151846306139332,5272.22313322739,14413.563223691288,,,,,,,,,,,,artifacts/tree_gradient_boosting/metrics/regression_metrics.json
tree,regression,random_forest,2,False,rmse_min,0.7317697452371565,0.5682581955897351,0.7317697452371565,0.8090706507683255,5777.855622318529,14834.649727321324,,,,,,,,,,,,artifacts/tree_gradient_boosting/metrics/regression_metrics.json
tree,regression,lightgbm,3,False,rmse_min,0.7338922348972465,0.551031042710948,0.7338922348972465,0.8079614677849325,4976.012080122001,14045.107553596841,,,,,,,,,,,,artifacts/tree_gradient_boosting/metrics/regression_metrics.json
tree,regression,xgboost,4,False,rmse_min,0.7384745985292965,0.552489443709678,0.7384745985292965,0.8055558348096192,5096.840551502712,14158.084931507774,,,,,,,,,,,,artifacts/tree_gradient_boosting/metrics/regression_metrics.json
tree,regression,hist_gradient_boosting,5,False,rmse_min,0.7436827534621463,0.5534053829669197,0.7436827534621463,0.8028034953245827,4925.756032124112,13891.971019630104,,,,,,,,,,,,artifacts/tree_gradient_boosting/metrics/regression_metrics.json
