workflow,task,model_name,mae,rmse,r2,mae_cells,rmse_cells,threshold,accuracy,precision,recall,f1,confusion_matrix,classification_report,roc_auc,pr_auc,selected_for
tree,regression,catboost,0.5470593685654207,0.7199579736310133,0.8151846306139332,5272.22313322739,14413.563223691288,,,,,,,,,,regression
tree,classification,random_forest,,,,,,0.5,0.9493243243243243,0.9692307692307692,0.9197080291970803,0.9438202247191011,"[[620, 16], [44, 504]]","{'0': {'precision': 0.9337349397590361, 'recall': 0.9748427672955975, 'f1-score': 0.9538461538461539, 'support': 636.0}, '1': {'precision': 0.9692307692307692, 'recall': 0.9197080291970803, 'f1-score': 0.9438202247191011, 'support': 548.0}, 'accuracy': 0.9493243243243243, 'macro avg': {'precision': 0.9514828544949027, 'recall': 0.9472753982463389, 'f1-score': 0.9488331892826275, 'support': 1184.0}, 'weighted avg': {'precision': 0.9501637527239937, 'recall': 0.9493243243243243, 'f1-score': 0.9492057744866732, 'support': 1184.0}}",0.9940836891153652,0.993148135520682,classification
non_tree,regression,elasticnet,0.49318901467027,0.677298655305645,0.8364373194070273,4764.268922871774,13977.196377411072,,,,,,,,,,regression
non_tree,classification,logistic_regression,,,,,,0.5,0.9543918918918919,0.942652329749104,0.9598540145985401,0.9511754068716094,"[[604, 32], [22, 526]]","{'0': {'precision': 0.9648562300319489, 'recall': 0.949685534591195, 'f1-score': 0.9572107765451664, 'support': 636.0}, '1': {'precision': 0.942652329749104, 'recall': 0.9598540145985401, 'f1-score': 0.9511754068716094, 'support': 548.0}, 'accuracy': 0.9543918918918919, 'macro avg': {'precision': 0.9537542798905264, 'recall': 0.9547697745948676, 'f1-score': 0.9541930917083878, 'support': 1184.0}, 'weighted avg': {'precision': 0.9545794248334698, 'recall': 0.9543918918918919, 'f1-score': 0.9544173790949052, 'support': 1184.0}}",0.9924195473534407,0.9910599978666252,classification
