task,model_name,feature,importance,note
regression,catboost,rain_14d_sum,1.2707858507692817,
regression,catboost,sunshine,1.1668953361162113,
regression,catboost,water_level_diff_1d,1.1611903876855976,
regression,catboost,inflow_7d_sum,1.1554125146389345,
regression,catboost,outflow,1.1487368641046534,
regression,catboost,pH,1.1477733558918692,
regression,catboost,level_change_7d,1.1373583979722535,
regression,catboost,heat_stagnation_index,1.0841604206745987,
regression,catboost,water_temp_diff_1d,1.0119038100996578,
regression,catboost,inflow_diff_1d,0.8854104393636747,
regression,catboost,rain_7d_sum,0.7737881748667764,
regression,catboost,rain_lag_2d,0.7621351867817902,
regression,catboost,residence_proxy,0.7337445750578648,
regression,catboost,rain_lag_1d,0.681471265752074,
classification,lightgbm,acc_temp_7d,234.0,
classification,lightgbm,sin_season,169.0,
classification,lightgbm,transparency,155.0,
classification,lightgbm,turbidity,125.0,
classification,lightgbm,DO,116.0,
classification,lightgbm,water_temp,114.0,
classification,lightgbm,solar_rad,113.0,
classification,lightgbm,level_change_7d,82.0,
classification,lightgbm,rain_14d_sum,63.0,
classification,lightgbm,solar_7d_sum,62.0,
classification,lightgbm,water_level,49.0,
classification,lightgbm,max_temp,46.0,
classification,lightgbm,pH,45.0,
classification,lightgbm,sunshine_7d_sum,45.0,
classification,lightgbm,water_level_diff_1d,38.0,
classification,lightgbm,air_temp_7d_mean,38.0,
classification,lightgbm,cos_season,37.0,
classification,lightgbm,water_temp_diff_1d,35.0,
classification,lightgbm,outflow,32.0,
classification,lightgbm,storage_vol,31.0,
classification,lightgbm,inflow_7d_sum,31.0,
classification,lightgbm,max_wind_gust,31.0,
classification,lightgbm,avg_temp,31.0,
classification,lightgbm,sunshine,30.0,
classification,lightgbm,cloud_cover,27.0,
classification,lightgbm,residence_proxy,23.0,
classification,lightgbm,wind_7d_mean,21.0,
classification,lightgbm,rain_7d_sum,19.0,
classification,lightgbm,heat_stagnation_index,17.0,
classification,lightgbm,inflow_diff_1d,13.0,
classification,lightgbm,rain_lag_1d,8.0,
classification,lightgbm,rain_lag_2d,8.0,
classification,xgboost,acc_temp_7d,0.4517725110054016,
classification,xgboost,sin_season,0.08559934049844742,
classification,xgboost,rain_7d_sum,0.048847176134586334,
classification,xgboost,turbidity,0.047895707190036774,
classification,xgboost,transparency,0.04518650472164154,
classification,xgboost,max_temp,0.034943439066410065,
classification,xgboost,pH,0.034355174750089645,
classification,xgboost,DO,0.03171354532241821,
classification,xgboost,wind_7d_mean,0.02801612950861454,
classification,xgboost,residence_proxy,0.02548600360751152,
classification,xgboost,cloud_cover,0.01724817231297493,
classification,xgboost,storage_vol,0.015555036254227161,
classification,xgboost,rain_lag_1d,0.012883070856332779,
classification,xgboost,inflow_diff_1d,0.012307574041187763,
classification,xgboost,solar_7d_sum,0.010897526517510414,
classification,xgboost,water_level_diff_1d,0.01074308156967163,
classification,xgboost,sunshine,0.010520193725824356,
classification,xgboost,solar_rad,0.010333700105547905,
classification,xgboost,rain_14d_sum,0.008832493796944618,
classification,xgboost,water_temp_diff_1d,0.008604561910033226,
classification,xgboost,inflow_7d_sum,0.008382049389183521,
classification,xgboost,level_change_7d,0.007967392913997173,
classification,xgboost,air_temp_7d_mean,0.006654870230704546,
classification,xgboost,sunshine_7d_sum,0.006107180844992399,
classification,xgboost,water_level,0.004551819059997797,
classification,xgboost,avg_temp,0.0040974426083266735,
classification,xgboost,water_temp,0.0029618300031870604,
classification,xgboost,outflow,0.002844464033842087,
classification,xgboost,rain_lag_2d,0.002102000406011939,
classification,xgboost,max_wind_gust,0.002063632244244218,
classification,xgboost,heat_stagnation_index,0.0005263136117719114,
classification,xgboost,cos_season,0.0,
classification,hist_gradient_boosting,,,이 모델은 feature_importances_ 속성을 제공하지 않습니다
classification,randomforest,acc_temp_7d,0.18746578846668935,
classification,randomforest,sin_season,0.1576046210812058,
classification,randomforest,water_temp,0.11828536109065153,
classification,randomforest,transparency,0.08837730563270747,
classification,randomforest,DO,0.07275226220780945,
classification,randomforest,turbidity,0.06084630847793379,
classification,randomforest,air_temp_7d_mean,0.0388802766697369,
classification,randomforest,avg_temp,0.03703626061773147,
classification,randomforest,cos_season,0.036415308346965464,
classification,randomforest,max_temp,0.030447891019678586,
classification,randomforest,wind_7d_mean,0.015990805335326003,
classification,randomforest,water_level,0.013955042763184225,
classification,randomforest,pH,0.012136652406269807,
classification,randomforest,rain_14d_sum,0.01193553163602351,
classification,randomforest,water_temp_diff_1d,0.011006861402720393,
classification,randomforest,storage_vol,0.010542857035494978,
classification,randomforest,level_change_7d,0.009335899285431711,
classification,randomforest,solar_rad,0.008690511892176674,
classification,randomforest,water_level_diff_1d,0.007875978569316464,
classification,randomforest,inflow_diff_1d,0.007708583633020013,
classification,randomforest,rain_7d_sum,0.007016459206340015,
classification,randomforest,sunshine_7d_sum,0.006547795252705695,
classification,randomforest,max_wind_gust,0.005900505673119941,
classification,randomforest,heat_stagnation_index,0.005644506458745309,
classification,randomforest,solar_7d_sum,0.005631423183896802,
classification,randomforest,inflow_7d_sum,0.005578270357278556,
classification,randomforest,cloud_cover,0.0053008949858252006,
classification,randomforest,sunshine,0.005228717818555348,
classification,randomforest,outflow,0.004984932829731194,
classification,randomforest,rain_lag_2d,0.0036794374626290187,
classification,randomforest,residence_proxy,0.003657251730910653,
classification,randomforest,rain_lag_1d,0.003539697470188748,
classification,catboost,transparency,14.603773021803939,
classification,catboost,sin_season,14.34032124880379,
classification,catboost,acc_temp_7d,13.542378418128674,
classification,catboost,turbidity,9.52756436276693,
