model_name,threshold,precision,recall,f1
lightgbm,0.05,0.9375,0.9574468085106383,0.9473684210526315
lightgbm,0.1,0.9565217391304348,0.9361702127659575,0.946236559139785
lightgbm,0.15,0.9565217391304348,0.9361702127659575,0.946236559139785
lightgbm,0.2,0.9555555555555556,0.9148936170212766,0.9347826086956522
lightgbm,0.25,0.9534883720930233,0.8723404255319149,0.9111111111111111
lightgbm,0.3,0.975609756097561,0.851063829787234,0.9090909090909091
lightgbm,0.35,0.975609756097561,0.851063829787234,0.9090909090909091
lightgbm,0.4,0.975,0.8297872340425532,0.896551724137931
lightgbm,0.45,0.975,0.8297872340425532,0.896551724137931
lightgbm,0.5,0.9743589743589743,0.8085106382978723,0.8837209302325582
lightgbm,0.55,0.9736842105263158,0.7872340425531915,0.8705882352941177
lightgbm,0.6,0.9736842105263158,0.7872340425531915,0.8705882352941177
lightgbm,0.65,0.972972972972973,0.7659574468085106,0.8571428571428571
lightgbm,0.7,0.972972972972973,0.7659574468085106,0.8571428571428571
lightgbm,0.75,0.9714285714285714,0.723404255319149,0.8292682926829268
lightgbm,0.8,0.9705882352941176,0.7021276595744681,0.8148148148148148
xgboost,0.05,0.9361702127659575,0.9361702127659575,0.9361702127659575
xgboost,0.1,0.9555555555555556,0.9148936170212766,0.9347826086956522
xgboost,0.15,0.9545454545454546,0.8936170212765957,0.9230769230769231
xgboost,0.2,0.9523809523809523,0.851063829787234,0.898876404494382
xgboost,0.25,0.975,0.8297872340425532,0.896551724137931
xgboost,0.3,0.975,0.8297872340425532,0.896551724137931
xgboost,0.35,0.975,0.8297872340425532,0.896551724137931
xgboost,0.4,0.975,0.8297872340425532,0.896551724137931
xgboost,0.45,0.972972972972973,0.7659574468085106,0.8571428571428571
xgboost,0.5,0.972972972972973,0.7659574468085106,0.8571428571428571
xgboost,0.55,0.9722222222222222,0.7446808510638298,0.8433734939759037
xgboost,0.6,0.9722222222222222,0.7446808510638298,0.8433734939759037
xgboost,0.65,0.9722222222222222,0.7446808510638298,0.8433734939759037
xgboost,0.7,0.9722222222222222,0.7446808510638298,0.8433734939759037
xgboost,0.75,0.9714285714285714,0.723404255319149,0.8292682926829268
xgboost,0.8,1.0,0.6808510638297872,0.810126582278481
hist_gradient_boosting,0.05,0.9534883720930233,0.8723404255319149,0.9111111111111111
hist_gradient_boosting,0.1,0.9523809523809523,0.851063829787234,0.898876404494382
hist_gradient_boosting,0.15,1.0,0.8297872340425532,0.9069767441860465
hist_gradient_boosting,0.2,1.0,0.7659574468085106,0.8674698795180723
hist_gradient_boosting,0.25,1.0,0.7446808510638298,0.8536585365853658
hist_gradient_boosting,0.3,1.0,0.723404255319149,0.8395061728395061
hist_gradient_boosting,0.35,1.0,0.723404255319149,0.8395061728395061
hist_gradient_boosting,0.4,1.0,0.723404255319149,0.8395061728395061
hist_gradient_boosting,0.45,1.0,0.723404255319149,0.8395061728395061
hist_gradient_boosting,0.5,1.0,0.6808510638297872,0.810126582278481
hist_gradient_boosting,0.55,1.0,0.6808510638297872,0.810126582278481
hist_gradient_boosting,0.6,1.0,0.6808510638297872,0.810126582278481
hist_gradient_boosting,0.65,1.0,0.6595744680851063,0.7948717948717948
hist_gradient_boosting,0.7,1.0,0.6382978723404256,0.7792207792207793
hist_gradient_boosting,0.75,1.0,0.6382978723404256,0.7792207792207793
hist_gradient_boosting,0.8,1.0,0.6170212765957447,0.7631578947368421
randomforest,0.05,0.8245614035087719,1.0,0.9038461538461539
randomforest,0.1,0.8703703703703703,1.0,0.9306930693069307
randomforest,0.15,0.9387755102040817,0.9787234042553191,0.9583333333333334
randomforest,0.2,0.9375,0.9574468085106383,0.9473684210526315
randomforest,0.25,0.9565217391304348,0.9361702127659575,0.946236559139785
randomforest,0.3,0.9555555555555556,0.9148936170212766,0.9347826086956522
randomforest,0.35,0.9459459459459459,0.7446808510638298,0.8333333333333334
randomforest,0.4,0.9714285714285714,0.723404255319149,0.8292682926829268
randomforest,0.45,1.0,0.6808510638297872,0.810126582278481
randomforest,0.5,1.0,0.6595744680851063,0.7948717948717948
randomforest,0.55,1.0,0.5957446808510638,0.7466666666666667
randomforest,0.6,1.0,0.5106382978723404,0.676056338028169
randomforest,0.65,1.0,0.3617021276595745,0.53125
randomforest,0.7,1.0,0.3191489361702128,0.4838709677419355
randomforest,0.75,1.0,0.2127659574468085,0.3508771929824561
randomforest,0.8,1.0,0.2127659574468085,0.3508771929824561
catboost,0.05,0.8867924528301887,1.0,0.94
catboost,0.1,0.9215686274509803,1.0,0.9591836734693877
catboost,0.15,0.9387755102040817,0.9787234042553191,0.9583333333333334
catboost,0.2,0.9387755102040817,0.9787234042553191,0.9583333333333334
catboost,0.25,0.9387755102040817,0.9787234042553191,0.9583333333333334
catboost,0.3,0.9375,0.9574468085106383,0.9473684210526315
catboost,0.35,0.9565217391304348,0.9361702127659575,0.946236559139785
catboost,0.4,0.9565217391304348,0.9361702127659575,0.946236559139785
catboost,0.45,0.975,0.8297872340425532,0.896551724137931
catboost,0.5,0.975,0.8297872340425532,0.896551724137931
catboost,0.55,0.9736842105263158,0.7872340425531915,0.8705882352941177
catboost,0.6,1.0,0.7446808510638298,0.8536585365853658
catboost,0.65,1.0,0.7446808510638298,0.8536585365853658
catboost,0.7,1.0,0.7021276595744681,0.825
catboost,0.75,1.0,0.6595744680851063,0.7948717948717948
catboost,0.8,1.0,0.6382978723404256,0.7792207792207793
