workflow,model_name,feature,mean_abs_shap
non_tree,logistic_regression,max_wind_gust_minmax,0.0749018065945007
non_tree,logistic_regression,outflow_robust,0.07036908603760192
non_tree,logistic_regression,solar_7d_sum_minmax,0.06776057310340323
non_tree,logistic_regression,storage_vol_minmax,0.061436227814820894
non_tree,logistic_regression,loc_1,0.05470883025419236
non_tree,logistic_regression,rain_14d_sum_robust,0.05435881435330223
non_tree,logistic_regression,storage_rate_minmax,0.05330694036369161
non_tree,logistic_regression,sunshine_7d_sum_minmax,0.04631741091730709
non_tree,logistic_regression,daily_rain_robust,0.04086833023025253
non_tree,logistic_regression,avg_wind_minmax,0.039602613998117854
non_tree,logistic_regression,TSI_SD_minmax,0.03833876726870081
non_tree,logistic_regression,cloud_7d_mean_minmax,0.028056206140206742
non_tree,logistic_regression,rainfall_robust,0.022149608584842367
non_tree,logistic_regression,oscillatoria_ratio,0.017225302041945476
non_tree,logistic_regression,wind_7d_mean_minmax,0.006589650277112068
non_tree,logistic_regression,transparency_minmax,0.0046938960215780505
non_tree,logistic_regression,low_wind_days_2ms_7d,0.0038729786666538697
